"cic_id","i94_year","i94_month","i94_city_cd","city_name","i94_state_cd","arr_date","dep_date","ins_num","male_pop","female_pop","total_pop","avg_temperature","median_age","avg_hh_size"
"4255430.0","2016.0","4.0","NYC","New York","FL","2016-04-23","2016-04-24",,,,,,,
"264030.0","2016.0","4.0","FMY","Fort Myers","FL","2016-04-02","2016-04-03",,"36850","37165","74015",,"37.3","2.45"
"2709302.0","2016.0","4.0","NYC","New York","IL","2016-04-15","2016-08-02",,,,,,,
"650850.0","2016.0","4.0","ATL","Atlanta","GA","2016-04-04","2016-04-21",,"223960","239915","463875","61.0462","33.8","2.15"
"2372111.0","2016.0","4.0","FTL","Fort Lauderdale","GU","2016-04-13","2016-04-16",,,,,,,
"1333584.0","2016.0","4.0","MIA","Miami","MA","2016-04-07","2016-04-11",,,,,,,
"4916639.0","2016.0","4.0","LOS","Los Angeles","CA","2016-04-26","2016-05-07",,"1958998","2012898","3971896","64.6172","35.0","2.86"
"3898900.0","2016.0","4.0","NIA","Niagara Falls",,"2016-04-21","2016-05-11",,,,,,,
"4842948.0","2016.0","4.0","FTL","Fort Lauderdale","FL","2016-04-25","2016-04-30",,"93948","84639","178587","75.9922","42.8","2.38"
"2938927.0","2016.0","4.0","NYC","New York","FL","2016-04-16","2016-04-21",,,,,,,
"4422636.0","2016.0","4.0","MCA","Mcallen","TX","2016-04-23","2016-04-24",,,,,,,
"4698964.0","2016.0","4.0","NYC","New York","NE","2016-04-25","2016-04-28",,,,,,,
"2025435.0","2016.0","4.0","NYC","New York","NY","2016-04-11","2016-04-16",,"4081698","4468707","8550405","53.894999999999996","36.0","2.68"
"5002887.0","2016.0","4.0","NYC","New York","NY","2016-04-26","2016-04-27",,"4081698","4468707","8550405","53.894999999999996","36.0","2.68"
"1193133.0","2016.0","4.0","CHI","Chicago","AL","2016-04-07","2016-04-17",,,,,,,
"5692439.0","2016.0","4.0","HOU","Houston","NV","2016-04-30","2016-05-06",,,,,,,
"3548734.0","2016.0","4.0","ORL","Orlando","FL","2016-04-19","2016-04-30",,"130940","139977","270917","74.78739999999999","33.1","2.42"
"2023167.0","2016.0","4.0","HHW","Honolulu","HI","2016-04-11","2016-04-15",,,,,,,
